	ios_all_ratings	ios_current_ratings	ios_file_size	android_avg_rating	android_file_size	android_ratings_1	android_ratings_2	android_ratings_3	android_ratings_4	android_ratings_5	android_total_ratings
23-10-16 18:40	227476	3456	251	4	-9999	954584	278143	515064	833420	4245112	6826323
23-10-16 18:50	227476	3456	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 19:00	227476	3456	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 19:10	227476	3456	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 19:20	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 19:30	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 19:40	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 19:50	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 20:00	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 20:10	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 20:20	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 20:30	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 20:40	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 20:50	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 21:00	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 21:10	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 21:20	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 21:30	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 21:40	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 21:50	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 22:00	227476	3456	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 22:10	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 22:20	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 22:30	227526	3518	251	4	-9999	954600	278154	515073	833439	4245174	6826440
23-10-16 22:40	227526	3518	251	4	-9999	954846	278215	515166	833560	4245940	6827727
