	ios_all_ratings	ios_current_ratings	ios_file_size	android_avg_rating	android_file_size	android_ratings_1	android_ratings_2	android_ratings_3	android_ratings_4	android_ratings_5	android_total_ratings
21-07-16 16:00	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 16:10	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 16:20	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 16:30	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 16:40	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 16:50	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 17:00	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 17:10	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 17:20	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 17:30	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 17:40	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 17:50	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 18:00	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 18:10	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 18:20	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 18:30	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 18:40	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 18:50	108570.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 19:00	108886.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
21-07-16 19:10	108886.0	6842.0	110	3.9	58.0	206305.0	73640.0	122554.0	174065.0	757714.0	1334278.0
